# a07390fd-874f-4833-a53c-cf5a16f2d641
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.7244800; -4.1755723; 0.0760054; -0.5088411; 4.8562333; -3.5374504
1.9830419; -3.0239930; -2.3379522; -0.6233091; -0.0259115; 3.0908215; 3.8670233
3.9660838; -1.9381036; -0.7691349; -0.6870848; -0.1752242; 4.9889995; 1.5664825
5.9491257; -0.5467562; 0.5287492; -0.9197609; -0.0851253; 5.5769990; 0.6345624
7.9321676; 1.2249751; 1.6504113; -1.0919278; -0.0757510; 5.7982450; 0.2570532
9.9152095; 3.0483299; 2.4464954; -1.2194053; -0.0546998; 5.8855025; 0.1041290
11.8982514; 4.9667366; 3.0371453; -1.3273683; -0.0610408; 5.9204834; 0.0421814
13.8812933; 6.8948919; 3.3807613; -1.4690563; -0.0840586; 5.9345951; 0.0170871
15.8643353; 8.8542849; 3.4236870; -1.6219124; -0.0656548; 5.9403020; 0.0069218
17.8473772; 10.8291017; 3.2136175; -1.7225193; -0.0401605; 5.9426123; 0.0028039
19.8304191; 12.7832077; 2.8386957; -1.7968123; -0.0359403; 5.9435479; 0.0011358
21.8134610; 14.7502755; 2.3039493; -1.8831419; -0.0570747; 5.9439268; 0.0004601
23.7965029; 16.5417660; 1.5815335; -2.0449980; -0.1187412; 5.9440803; 0.0001864
25.7795448; 18.2472377; 0.4913997; -2.1995490; -0.0159828; 5.9441425; 0.0000755
27.7625867; 19.7151231; -0.6012531; -2.2853109; -0.1734198; 5.9441677; 0.0000306
29.7456286; 20.9816176; -2.2036505; -2.6389560; -0.1412803; 5.9441779; 0.0000124
31.7286705; 21.6555514; -4.1200781; -3.0084325; -0.2633091; 5.9441820; -2.6035739
33.7117124; 21.2648098; -5.9700163; 2.5679988; -0.3051351; 5.0007307; 0.6182964
35.6947543; 19.8408518; -7.3953056; 2.2219310; -0.0729370; 5.2401835; 1.1810716
37.6777962; 18.1773783; -8.5720877; 2.1517666; -0.0641762; 5.6695460; 0.4784372
39.6608381; 16.5073214; -9.4652076; 1.9585495; -0.0978381; 5.8344900; 0.1938089
41.6438800; 14.6342544; -10.0907786; 1.8502332; -0.0262009; 5.8999946; 0.0785096
43.6269219; 12.6613837; -10.6266301; 1.8287604; -0.0068993; 5.9263236; 0.0318032
45.6099639; 10.7689621; -11.1071512; 1.8075980; -0.0146646; 5.9369560; 0.0128831
47.5930058; 8.8428042; -11.5144611; 1.7332259; -0.0644577; 5.9412576; 0.0052188
49.5760477; 6.8779383; -11.6812753; 1.5697845; -0.0874909; 5.9429992; 0.0021141
51.5590896; 4.8948626; -11.5085909; 1.3986682; -0.0856922; 5.9437046; 0.0008564
53.5421315; 3.0464550; -11.0129647; 1.2100027; -0.1091635; 5.9439903; 0.0003469
55.5251734; 1.1981311; -10.0705477; 0.9971830; -0.0783940; 5.9441060; 0.0001405
57.5082153; -0.5103330; -8.8133647; 0.8916154; -0.0307921; 5.9441529; 0.0000569
59.4912572; -1.9308958; -7.6003641; 0.7885146; -0.2488007; 5.9441719; -2.0908958
61.4742991; -3.0082943; -6.0783383; 0.5207326; -0.0954624; 5.2000492; -0.8717691
63.4573410; -3.7244800; -4.1755723; 0.0760054; -0.5088411; 4.8562333; -3.5374504
