# 850995e4-cf64-4e3d-89bb-7d96567ab912
# 75a85e278c1f8d11101451215f6dfb190e84ef22
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.9833879; 11.4677179; 1.6389844; -0.1109443; 4.0; 5.2932359
0.5932236; 4.4108583; 11.3661493; 1.7319226; 0.3929293; 4.1; -1.8551467
1.1864471; 4.08; 11.16; 2.0010908; 0.4411591; 4.2; -4.8252369
1.7796707; 3.81; 10.87; 2.3004851; 0.5875038; 4.4; -2.0882566
2.3728943; 3.54; 10.42; 2.7311823; 0.8619630; 4.6; -2.0882566
2.9661178; 3.33; 9.92; -3.0909175; 0.5267498; 4.8; 4.2552048
3.5593414; 3.23; 9.34; -2.9084753; 0.1537271; 5.0; 5.5260980
4.1525649; 3.23; 8.7064926; -2.8650398; 0.0021099; 5.2; 4.5426345
4.7457885; 3.2981832; 8.1354066; -2.8901015; -0.0849530; 5.4; 3.7341952
5.3390121; 3.36; 7.5517373; -2.9685582; -0.1829215; 5.7331600; -2.3956873
5.9322356; 3.41; 6.9639729; -3.1138171; -0.3123379; 5.4796686; -4.1314036
6.5254592; 3.4431233; 6.3730162; 2.9404513; -0.4631770; 5.0124920; -3.2262958
7.1186828; 3.2427383; 5.8233153; 2.6342279; -0.5619643; 4.6148940; -3.1628781
7.7119063; 2.8782887; 5.3668944; 2.3052355; -0.5216048; 4.6; 0.2169231
8.3051299; 2.3795899; 5.0344878; 2.0212034; -0.4315065; 4.6; 1.6480064
8.8983534; 1.8224307; 4.8370282; 1.8182956; -0.2691756; 4.6; 3.7182216
9.4915770; 1.2265873; 4.7316946; 1.6824934; -0.1685432; 4.6; 3.1371813
10.0848006; 0.68; 4.54; 1.6306043; 0.0057908; 4.6; -9.4699059
10.6780241; 0.32; 4.33; 1.7120795; 0.3019090; 4.4; -2.1208567
11.2712477; 0; 4.01; 2.0473038; 0.8487136; 4.2; -2.1208567
11.8644713; -0.32; 3.62; 2.5705342; 0.7808143; 4.2; 1.1813680
12.4576948; -0.55; 3.22; 2.9105589; 0.3905412; 4.0; 4.9597802
13.0509184; -0.76; 2.8; 3.0882001; 0.2343962; 3.8; 4.7314875
13.6441419; -0.82; 2.38; -3.0506353; 0.2666284; 3.6; 1.7832014
14.2373655; -0.86; 1.79; -2.8822419; 0.3091205; 3.8; -0.2301632
14.8305891; -0.82; 1.26; -2.7254676; 0.2224664; 3.9; 2.1798605
15.4238126; -0.6594883; 0.6840799; -2.5829700; 0.3083987; 3.9; -1.2713104
16.0170362; -0.2988332; 0.2222130; -2.3652408; 0.4036200; 4.1; -3.1930559
16.6102598; 0.1659580; -0.1460068; -2.1124962; 0.4366847; 4.2; -1.8778616
17.2034833; 0.7097053; -0.3817148; -1.8455533; 0.4363461; 4.5; -0.5634841
17.7967069; 1.2952052; -0.4726319; -1.6135891; 0.3262498; 4.8; 2.1139155
